respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Qual é a sua idade?,Com qual gênero você se identifica?,Qual é seu nível de escolaridade?,Qual é o nível de escolaridade do seu pai?,Qual é o nível de escolaridade da sua mãe?,Qual a sua profissão?,O que é o Sol?,Quantos planetas o Sistema Solar possui?,Qual o maior planeta do Sistema Solar?,Qual é o nome da nossa Galáxia?,O que é a Lua?,Qual é a distância (aproximada) da Terra ao Sol?,Qual o formato da Terra?,O que é um eclipse lunar?,"O que é uma ""estrela cadente""?",Qual a diferença entre cometa e asteroide?,O que é uma nebulosa?,Qual destes(as) é um(a) astrônomo(a) brasileiro(a)?,O que é um buraco negro?,"Qual a idade do Universo, aproximadamente?",Por que é necessário colocar telescópios no espaço?,O Sol morrerá um dia. O que ele se tornará?,Identifique a nebulosa:,Selecione a alternativa que associa corretamente a constelação a seu nome:
,,,,,,,,,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
10248646230,216856699,09/30/2018 03:39:00 PM,09/30/2018 03:44:27 PM,,,,,,14 a 17,Feminino,Superior Incompleto,Superior Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10248444183,216856699,09/30/2018 11:20:35 AM,09/30/2018 11:38:11 AM,,,,,,35 a 44,Masculino,Superior Completo,Fundamental Completo,Médio Completo,Professor,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10247720768,216856699,09/29/2018 02:38:10 PM,09/29/2018 02:43:16 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Superior Completo,Superior Completo,Coach,Uma estrela,7,Júpiter,Via Láctea,Um satélite natural,150 sextilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Alberto Garibaldi,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Escorpião
10247606902,216856699,09/29/2018 12:01:13 PM,09/29/2018 12:27:21 PM,,,,,,18 a 24,Outros,Superior Incompleto,Superior Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Elisabete Costa,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10247227718,216856699,09/29/2018 02:35:39 AM,09/29/2018 02:36:21 AM,,,,,,18 a 24,Masculino,Superior Incompleto,Pós-graduação Completo,Superior Completo,Físico,,,,,,,,,,,,,,,,,,
10247076794,216856699,09/28/2018 10:47:12 PM,09/28/2018 11:02:12 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Pós-graduação Completo,Pós-graduação Completo,Astrônomo,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10247013998,216856699,09/28/2018 09:33:39 PM,09/28/2018 09:34:39 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Superior Incompleto,Superior Completo,Estudante,,,,,,,,,,,,,,,,,,
10246957421,216856699,09/28/2018 08:34:31 PM,09/28/2018 08:53:08 PM,,,,,,25 a 34,Masculino,Superior Incompleto,Fundamental Incompleto,Fundamental Incompleto,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10246890599,216856699,09/28/2018 07:40:30 PM,09/28/2018 07:47:35 PM,,,,,,14 a 17,Masculino,Superior Incompleto,Superior Incompleto,Pós-graduação Incompleto,Outros,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
